number,value,datetime_start,datetime_complete,duration,params_Q10,params_SPAN,params_TDWI,params_TSUM1,params_TSUM2,state
1309,428.9315504067037,2024-03-04 11:47:30.764792,2024-03-04 11:47:30.818838,0 days 00:00:00.054046,1.9500697770100888,32.922259654838484,0.5543143111360191,527.8600043391588,1203.0809344075496,COMPLETE
1310,406.16399366315153,2024-03-04 11:47:31.025482,2024-03-04 11:47:31.084097,0 days 00:00:00.058615,1.98471923960924,31.71292552901929,0.5135305452628912,514.6358376289843,1322.9797637555719,COMPLETE
1311,901.3242640058623,2024-03-04 11:47:31.289223,2024-03-04 11:47:31.365208,0 days 00:00:00.075985,2.1395508391652083,35.13154938080737,0.5724500698424022,564.5328335488276,1528.0086760110476,COMPLETE
1312,1050.6098846566172,2024-03-04 11:47:31.573574,2024-03-04 11:47:31.630697,0 days 00:00:00.057123,2.090464751129397,32.660645261191405,0.566203688585546,606.4716736313808,1362.4596174745436,COMPLETE
1313,1244.9865350189261,2024-03-04 11:47:31.829040,2024-03-04 11:47:31.885673,0 days 00:00:00.056633,2.0668199228752333,35.46845138946746,0.4829327885509987,638.906638904338,1345.9801548543826,COMPLETE
1314,111.81230792266805,2024-03-04 11:47:32.082032,2024-03-04 11:47:32.144545,0 days 00:00:00.062513,1.9724268830967633,33.139921505632365,0.5843180323166716,532.1795729718991,1381.6523030062212,COMPLETE
1315,113.50419390054604,2024-03-04 11:47:32.355972,2024-03-04 11:47:32.418487,0 days 00:00:00.062515,1.9626507202958685,34.34504353674465,0.5762769955889732,522.5193836851208,1333.5392765650463,COMPLETE
1316,242.24732134015977,2024-03-04 11:47:32.618339,2024-03-04 11:47:32.675566,0 days 00:00:00.057227,2.0173275898311367,33.66371525086008,0.5587835160627563,544.4966297083438,1368.7567383317405,COMPLETE
1317,390.49061473501587,2024-03-04 11:47:32.878905,2024-03-04 11:47:32.935734,0 days 00:00:00.056829,2.050168992509486,33.365076502360004,0.5919563349235812,569.5963371550473,1263.9631912775592,COMPLETE
1318,29.278557583818387,2024-03-04 11:47:33.117251,2024-03-04 11:47:33.167751,0 days 00:00:00.050500,2.0819404161839987,33.03275602035806,0.5078937484467686,536.6956656875127,1339.0945449781495,COMPLETE
1319,636.4338214432248,2024-03-04 11:47:33.355222,2024-03-04 11:47:33.426207,0 days 00:00:00.070985,2.1650782627798826,33.942012250459165,0.54095794307839,575.7497743022873,1352.7154772929944,COMPLETE
1320,236.5235482259904,2024-03-04 11:47:33.617496,2024-03-04 11:47:33.672283,0 days 00:00:00.054787,2.0576353209211433,31.267494619864447,0.5622403053392632,527.8926691773446,1496.4560696759922,COMPLETE
1321,413.59777505951484,2024-03-04 11:47:33.879983,2024-03-04 11:47:33.938805,0 days 00:00:00.058822,1.9976386161887467,34.8423775469829,0.5474310624061173,517.2196019896289,1241.8734057175097,COMPLETE
1322,511.1070687135242,2024-03-04 11:47:34.125928,2024-03-04 11:47:34.178833,0 days 00:00:00.052905,2.07217118815022,32.78401596436147,0.5278176213654924,555.1560167875581,1456.6254493878387,COMPLETE
1323,2048.50679182477,2024-03-04 11:47:34.376651,2024-03-04 11:47:34.429160,0 days 00:00:00.052509,2.029419323640683,33.52103812544467,0.501485683823691,691.0839719118677,1469.4255203738685,COMPLETE
1324,100.79181602952622,2024-03-04 11:47:34.664898,2024-03-04 11:47:34.747339,0 days 00:00:00.082441,1.9770240855651748,33.28262150672363,0.40067321991323995,523.1400253167641,1568.4365291362237,COMPLETE
